Fecha,Precio_Real,Precio_Predicho,Error_Absoluto,Error_Porcentual_pct,Error_Relativo_pct
2024-05-01,55000.0,54929.41422580028,70.58577419971698,0.1283377712722127,0.1283377712722127
2024-06-01,55000.0,54959.48990350277,40.510096497229824,0.07365472090405423,0.07365472090405423
2024-07-01,55000.0,54998.77242131827,1.2275786817335756,0.002231961239515592,0.002231961239515592
2024-08-01,55000.0,55022.71020561208,-22.710205612078425,0.041291282931051686,-0.041291282931051686
2024-09-01,55000.0,55053.39967265543,-53.39967265543237,0.09709031391896794,-0.09709031391896794
2024-10-01,55000.0,55073.65472090405,-73.65472090405092,0.13391767437100166,-0.13391767437100166
2024-11-01,55000.0,55076.10987826752,-76.10987826751807,0.13838159685003287,-0.13838159685003287
2024-12-01,55000.0,55035.59978177029,-35.599781770288246,0.06472687594597863,-0.06472687594597863
2025-01-01,55000.0,54993.862106591325,6.137893408675154,0.01115980619759119,0.01115980619759119
2025-02-01,55000.0,54989.56558120526,10.434418794742669,0.01897167053589576,0.01897167053589576
2025-03-01,55000.0,54990.179370546124,9.820629453875881,0.017855689916137965,0.017855689916137965
2025-04-01,55000.0,54957.0347461393,42.965253860696976,0.07811864338308541,0.07811864338308541
2025-05-01,55000.0,54815.249408399,184.75059160099772,0.3359101665472686,0.3359101665472686
2025-06-01,55000.0,54765.53247178876,234.46752821123664,0.426304596747703,0.426304596747703
2025-07-01,55000.0,54784.55994135565,215.44005864435167,0.3917091975351848,0.3917091975351848
