Fecha,Media,IC_Inferior,IC_Superior,Nivel_Rio_Exog
2025-07-01,55009.199154273134,49535.14599766277,60483.2523108835,2.97625
2025-08-01,55012.79409587163,47271.313880641996,62754.27431110126,2.91225806451613
2025-09-01,55010.20567751422,45528.86748693227,64491.54386809617,2.95833333333333
2025-10-01,55009.89458405936,44061.788270838624,65958.00089728009,2.96387096774194
2025-11-01,55010.43038967967,42770.07541905159,67250.78536030775,2.95433333333333
2025-12-01,55010.673827858904,41602.03676929193,68419.31088642587,2.95
2026-01-01,55010.673827858904,40527.69051191977,69493.65714379805,2.95
2026-02-01,55010.673827858904,39527.71339739964,70493.63425831817,2.95
2026-03-01,55011.16312047723,38589.003650646126,71433.32259030832,2.94129032258065
2026-04-01,55011.23560827253,37700.75960054937,72321.7116159957,2.94
2026-05-01,55011.23560827253,36855.85520533536,73166.6160112097,2.94
2026-06-01,55011.23560827253,36048.559227108635,73973.91198943643,2.94
2026-07-01,55011.23560827253,35274.25626749835,74748.21494904671,2.94
2026-08-01,55011.23560827253,34529.20417924814,75493.26703729693,2.94
2026-09-01,55011.23560827253,33810.31889646644,76212.15232007863,2.94
2026-10-01,55011.326218016664,33115.113591575195,76907.53884445813,2.93838709677419
2026-11-01,55011.79738868616,32441.69802373584,77581.89675363648,2.93
2026-12-01,55011.79738868616,31787.35674299726,78236.23803437506,2.93
2027-01-01,55011.79738868616,31150.95286745174,78872.64190992058,2.93
2027-02-01,55011.79738868616,30531.087447429993,79492.50732994232,2.93
2027-03-01,55011.79738868616,29926.534440307198,80097.06033706512,2.93
2027-04-01,55011.79738868616,29336.212192809704,80687.38258456261,2.93
2027-05-01,55011.79738868616,28759.16069992466,81264.43407744766,2.93
2027-06-01,55011.79738868616,28194.523271552214,81829.0715058201,2.93
