Fecha,Precio_Real,Precio_Predicho,Error
2023-10-01,60000.0,60131.11053855814,-131.11053855813952
2023-11-01,60000.0,60128.72671058436,-128.72671058435662
2023-12-01,60000.0,60063.17144130528,-63.171441305283224
2024-01-01,55000.0,60200.24154979789,-5200.241549797887
2024-02-01,55000.0,60255.06959319492,-5255.069593194923
2024-03-01,55000.0,60255.06959319492,-5255.069593194923
2024-04-01,55000.0,60262.22107711628,-5262.221077116279
2024-05-01,55000.0,60125.150968623675,-5125.150968623675
2024-06-01,55000.0,60183.55475398139,-5183.554753981392
2024-07-01,55000.0,60259.83724914249,-5259.837249142489
2024-08-01,55000.0,60306.321894631285,-5306.3218946312845
2024-09-01,55000.0,60365.91759397589,-5365.917593975893
2024-10-01,55000.0,60405.25075554334,-5405.25075554334
2024-11-01,55000.0,60410.018411490906,-5410.018411490906
2024-12-01,55000.0,60331.35208835602,-5331.3520883560195
2025-01-01,55000.0,60250.30193724736,-5250.301937247357
2025-02-01,55000.0,60241.95853933911,-5241.95853933911
2025-03-01,55000.0,60243.150453326,-5243.150453326001
2025-04-01,55000.0,60178.78709803383,-5178.787098033827
2025-05-01,55000.0,59903.454967061734,-4903.454967061734
2025-06-01,55000.0,59806.90993412347,-4806.909934123469
2025-07-01,55000.0,59920.14176287822,-4920.141762878222
